Plant,Name,MTyp,Material,Material Description,Matl Group,SLoc,BUn,Unrestricted,Stock in Transit,Transit/Transf.
3461,Balurghat (D) Division,ZDCL,0101011011,M.S ANGLE 50 X 50 X 6MM.,MSANGLE,ST01,MT,10.119,0.000,0.000
6611,Malda (D) Division,ZDCL,0101011011,M.S ANGLE 50 X 50 X 6MM.,MSANGLE,ST01,MT,0.021,0.000,0.000
6612,Chanchal (D) Division,ZDCL,0101011011,M.S ANGLE 50 X 50 X 6MM.,MSANGLE,,MT,0.000,7.021,7.021
6612,Chanchal (D) Division,ZDCL,0101011011,M.S ANGLE 50 X 50 X 6MM.,MSANGLE,ST01,MT,1.000,0.000,0.000
6621,Raiganj (D) Division,ZDCL,0101011011,M.S ANGLE 50 X 50 X 6MM.,MSANGLE,ST01,MT,3.491,0.000,0.000
6622,Islampur (D) Division,ZDCL,0101011011,M.S ANGLE 50 X 50 X 6MM.,MSANGLE,ST01,MT,0.038,0.000,0.000
6631,Balurghat (D) Division,ZDCL,0101011011,M.S ANGLE 50 X 50 X 6MM.,MSANGLE,ST01,MT,2.744,0.000,0.000
6632,Buniadpur (D) Division,ZDCL,0101011011,M.S ANGLE 50 X 50 X 6MM.,MSANGLE,ST01,MT,1.734,0.000,0.000
3461,Balurghat (D) Division,ZDCL,0101011311,M.S ANGLE 65 X 65 X 6MM.,MSANGLE,ST01,MT,0.321,0.000,0.000
6611,Malda (D) Division,ZDCL,0101011311,M.S ANGLE 65 X 65 X 6MM.,MSANGLE,ST01,MT,165.692,0.000,0.000
6612,Chanchal (D) Division,ZDCL,0101011311,M.S ANGLE 65 X 65 X 6MM.,MSANGLE,ST01,MT,29.005,0.000,0.000
6613,Gazole (D) Division,ZDCL,0101011311,M.S ANGLE 65 X 65 X 6MM.,MSANGLE,ST01,MT,2.553,0.000,0.000
6621,Raiganj (D) Division,ZDCL,0101011311,M.S ANGLE 65 X 65 X 6MM.,MSANGLE,ST01,MT,11.413,0.000,0.000
6631,Balurghat (D) Division,ZDCL,0101011311,M.S ANGLE 65 X 65 X 6MM.,MSANGLE,ST01,MT,3.898,0.000,0.000
6632,Buniadpur (D) Division,ZDCL,0101011311,M.S ANGLE 65 X 65 X 6MM.,MSANGLE,ST01,MT,3.283,0.000,0.000
3461,Balurghat (D) Division,ZDCL,0102010611,M.S. CHANNEL 75 X 40MM,MSCHANNEL,ST01,MT,2.319,0.000,0.000
